graph_hash,profile,cycle_i,cycle_j,distance,shared_vertices,shared_edges
924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,"(4,0,0,0)",1,2,8,0,0
924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,"(4,0,0,0)",1,3,8,0,0
924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,"(4,0,0,0)",2,3,7,0,0
e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,"(4,0,0,0)",0,1,8,0,0
e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,"(4,0,0,0)",0,2,8,0,0
e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,"(4,0,0,0)",0,3,2,0,0
e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,"(4,0,0,0)",1,2,7,0,0
e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,"(4,0,0,0)",1,3,8,0,0
e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,"(4,0,0,0)",2,3,8,0,0
100287ca17544787cb00390ffc026ff8ca682e06ac86553b7c223ea5ef19be37,"(4,0,0,0)",0,1,7,0,0
100287ca17544787cb00390ffc026ff8ca682e06ac86553b7c223ea5ef19be37,"(4,0,0,0)",0,2,10,0,0
100287ca17544787cb00390ffc026ff8ca682e06ac86553b7c223ea5ef19be37,"(4,0,0,0)",0,3,5,0,0
100287ca17544787cb00390ffc026ff8ca682e06ac86553b7c223ea5ef19be37,"(4,0,0,0)",1,2,10,0,0
100287ca17544787cb00390ffc026ff8ca682e06ac86553b7c223ea5ef19be37,"(4,0,0,0)",1,3,5,0,0
100287ca17544787cb00390ffc026ff8ca682e06ac86553b7c223ea5ef19be37,"(4,0,0,0)",2,3,3,0,0
e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,"(4,0,0,0)",0,1,2,0,0
e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,"(4,0,0,0)",0,2,4,0,0
e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,"(4,0,0,0)",0,3,7,0,0
e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,"(4,0,0,0)",1,2,4,0,0
e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,"(4,0,0,0)",1,3,7,0,0
e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,"(4,0,0,0)",2,3,7,0,0
d1017f5a43b7e130005dc6536c462e85907a61f2068fdaa6dd089a36aee45bf1,"(4,0,0,0)",0,1,1,0,0
d1017f5a43b7e130005dc6536c462e85907a61f2068fdaa6dd089a36aee45bf1,"(4,0,0,0)",0,2,8,0,0
d1017f5a43b7e130005dc6536c462e85907a61f2068fdaa6dd089a36aee45bf1,"(4,0,0,0)",0,3,5,0,0
d1017f5a43b7e130005dc6536c462e85907a61f2068fdaa6dd089a36aee45bf1,"(4,0,0,0)",1,2,9,0,0
d1017f5a43b7e130005dc6536c462e85907a61f2068fdaa6dd089a36aee45bf1,"(4,0,0,0)",1,3,6,0,0
d1017f5a43b7e130005dc6536c462e85907a61f2068fdaa6dd089a36aee45bf1,"(4,0,0,0)",2,3,7,0,0
8cca1bf7307c80ca83f906e65d1d2a09f27cc1b7a0c40aa1ad893229ba676c7f,"(4,0,0,0)",0,1,3,0,0
8cca1bf7307c80ca83f906e65d1d2a09f27cc1b7a0c40aa1ad893229ba676c7f,"(4,0,0,0)",0,2,5,0,0
8cca1bf7307c80ca83f906e65d1d2a09f27cc1b7a0c40aa1ad893229ba676c7f,"(4,0,0,0)",0,3,5,0,0
8cca1bf7307c80ca83f906e65d1d2a09f27cc1b7a0c40aa1ad893229ba676c7f,"(4,0,0,0)",1,2,4,0,0
8cca1bf7307c80ca83f906e65d1d2a09f27cc1b7a0c40aa1ad893229ba676c7f,"(4,0,0,0)",1,3,4,0,0
8cca1bf7307c80ca83f906e65d1d2a09f27cc1b7a0c40aa1ad893229ba676c7f,"(4,0,0,0)",2,3,6,0,0
1ee8d6745f6ed06d2e934e9e0e7df3a05085905e1163f12c2d7b0d9968b0f0ac,"(4,0,0,0)",0,1,1,0,0
1ee8d6745f6ed06d2e934e9e0e7df3a05085905e1163f12c2d7b0d9968b0f0ac,"(4,0,0,0)",0,2,8,0,0
1ee8d6745f6ed06d2e934e9e0e7df3a05085905e1163f12c2d7b0d9968b0f0ac,"(4,0,0,0)",0,3,8,0,0
1ee8d6745f6ed06d2e934e9e0e7df3a05085905e1163f12c2d7b0d9968b0f0ac,"(4,0,0,0)",1,2,9,0,0
1ee8d6745f6ed06d2e934e9e0e7df3a05085905e1163f12c2d7b0d9968b0f0ac,"(4,0,0,0)",1,3,9,0,0
1ee8d6745f6ed06d2e934e9e0e7df3a05085905e1163f12c2d7b0d9968b0f0ac,"(4,0,0,0)",2,3,7,0,0
40942a6f7ac7adccce132a76070ebe138a3fd02ebb7532d23ef83f40f35debf6,"(4,0,0,0)",0,1,5,0,0
40942a6f7ac7adccce132a76070ebe138a3fd02ebb7532d23ef83f40f35debf6,"(4,0,0,0)",0,2,10,0,0
40942a6f7ac7adccce132a76070ebe138a3fd02ebb7532d23ef83f40f35debf6,"(4,0,0,0)",0,3,6,0,0
40942a6f7ac7adccce132a76070ebe138a3fd02ebb7532d23ef83f40f35debf6,"(4,0,0,0)",1,2,4,0,0
40942a6f7ac7adccce132a76070ebe138a3fd02ebb7532d23ef83f40f35debf6,"(4,0,0,0)",1,3,7,0,0
40942a6f7ac7adccce132a76070ebe138a3fd02ebb7532d23ef83f40f35debf6,"(4,0,0,0)",2,3,12,0,0
d3f398665b14031c7289ae87bf153705870a89f6289aff9da7a7a66cc74f31bb,"(4,0,0,0)",0,1,1,0,0
d3f398665b14031c7289ae87bf153705870a89f6289aff9da7a7a66cc74f31bb,"(4,0,0,0)",0,2,8,0,0
d3f398665b14031c7289ae87bf153705870a89f6289aff9da7a7a66cc74f31bb,"(4,0,0,0)",0,3,8,0,0
d3f398665b14031c7289ae87bf153705870a89f6289aff9da7a7a66cc74f31bb,"(4,0,0,0)",1,2,8,0,0
d3f398665b14031c7289ae87bf153705870a89f6289aff9da7a7a66cc74f31bb,"(4,0,0,0)",1,3,8,0,0
d3f398665b14031c7289ae87bf153705870a89f6289aff9da7a7a66cc74f31bb,"(4,0,0,0)",2,3,7,0,0
34d4324764f333472455b965d1bfed2ed3f152fdb956fc1a621622d4b985bc34,"(4,0,0,0)",0,1,1,0,0
34d4324764f333472455b965d1bfed2ed3f152fdb956fc1a621622d4b985bc34,"(4,0,0,0)",0,2,8,0,0
34d4324764f333472455b965d1bfed2ed3f152fdb956fc1a621622d4b985bc34,"(4,0,0,0)",0,3,8,0,0
34d4324764f333472455b965d1bfed2ed3f152fdb956fc1a621622d4b985bc34,"(4,0,0,0)",1,2,9,0,0
34d4324764f333472455b965d1bfed2ed3f152fdb956fc1a621622d4b985bc34,"(4,0,0,0)",1,3,9,0,0
34d4324764f333472455b965d1bfed2ed3f152fdb956fc1a621622d4b985bc34,"(4,0,0,0)",2,3,7,0,0
24e114668f30c3925f577599bbd3577c6bda4bfff127ecaaed8685634f01fd39,"(4,0,0,0)",0,1,1,0,0
24e114668f30c3925f577599bbd3577c6bda4bfff127ecaaed8685634f01fd39,"(4,0,0,0)",0,2,8,0,0
24e114668f30c3925f577599bbd3577c6bda4bfff127ecaaed8685634f01fd39,"(4,0,0,0)",0,3,8,0,0
24e114668f30c3925f577599bbd3577c6bda4bfff127ecaaed8685634f01fd39,"(4,0,0,0)",1,2,9,0,0
24e114668f30c3925f577599bbd3577c6bda4bfff127ecaaed8685634f01fd39,"(4,0,0,0)",1,3,9,0,0
24e114668f30c3925f577599bbd3577c6bda4bfff127ecaaed8685634f01fd39,"(4,0,0,0)",2,3,3,0,0
832101655fa9553e8b43cb18c66db1feaad3d1b8da372a7973ff7a0b2d2e1dd9,"(4,0,0,0)",0,1,4,0,0
832101655fa9553e8b43cb18c66db1feaad3d1b8da372a7973ff7a0b2d2e1dd9,"(4,0,0,0)",0,2,6,0,0
832101655fa9553e8b43cb18c66db1feaad3d1b8da372a7973ff7a0b2d2e1dd9,"(4,0,0,0)",0,3,6,0,0
832101655fa9553e8b43cb18c66db1feaad3d1b8da372a7973ff7a0b2d2e1dd9,"(4,0,0,0)",1,2,10,0,0
832101655fa9553e8b43cb18c66db1feaad3d1b8da372a7973ff7a0b2d2e1dd9,"(4,0,0,0)",1,3,10,0,0
832101655fa9553e8b43cb18c66db1feaad3d1b8da372a7973ff7a0b2d2e1dd9,"(4,0,0,0)",2,3,7,0,0
cc2f06dab3e6e63398d7dbdcd3731b1103a5f81b3f3d2b7c8af490655099df77,"(4,0,0,0)",0,1,4,0,0
cc2f06dab3e6e63398d7dbdcd3731b1103a5f81b3f3d2b7c8af490655099df77,"(4,0,0,0)",0,2,7,0,0
cc2f06dab3e6e63398d7dbdcd3731b1103a5f81b3f3d2b7c8af490655099df77,"(4,0,0,0)",0,3,4,0,0
cc2f06dab3e6e63398d7dbdcd3731b1103a5f81b3f3d2b7c8af490655099df77,"(4,0,0,0)",1,2,11,0,0
cc2f06dab3e6e63398d7dbdcd3731b1103a5f81b3f3d2b7c8af490655099df77,"(4,0,0,0)",1,3,8,0,0
cc2f06dab3e6e63398d7dbdcd3731b1103a5f81b3f3d2b7c8af490655099df77,"(4,0,0,0)",2,3,7,0,0
