group,graph_hash,edge_count,degree_sequence,d_min,d_mean,d_max,union_vertices,all_vertex_disjoint
target_clean,fcc6d33a6fff24fac2af1093db003757db66db6997cef246d225ea1d84722c1d,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",2,7.0,10,16,True
target_clean,2ca234a6c1a7e354230c3eb7f929327bb48f334ce1ad62bfff80b6bbb15e625d,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,6.333333333333333,11,16,True
target_clean,a18bdcfb9f522813508f397cfbd7021020d9c6734acb666d1090545bd2e6f74b,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",2,5.166666666666667,7,16,True
target_clean,5fc8f11c85bc7bd01eab8e0ec371bb1ab3b67e5465a8f42c962eb5fbe8ceb4a5,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,6.666666666666667,8,16,True
target_clean,a24e41f24c8abb2b951fd2e93abf125caa2fe5ede49b04de1512d692a9e8db0d,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,8,16,True
target_clean,e96bf4bbcf7dace79db748fd1f1ac448fcd995597c732f1aa6e503c24f287117,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,7.166666666666667,10,16,True
target_clean,601ce2f58a17b737abceb109497d81344e856a47decfb17731593e659fe1fd93,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,7.333333333333333,11,16,True
target_clean,49d54c801e7bb2dc2c06dfef90f94bc02c7d472ab701cf7b7bf9e0269f0980d2,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,7.0,11,16,True
target_clean,8d39f4eeea9fe975f98634d2e11474b1d168d8dfe78b4d0b13f38d28674c3596,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,6.666666666666667,11,16,True
target_clean,0bf20f10ddc152c5f0004360ef579660b9d27dfe7805aa53f4a086dc10d32418,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.666666666666667,11,16,True
target_clean,b43e341e953a823ddb6b01ac2bb11ba7f824a2095d7139b0aaee1f0806878782,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",4,6.333333333333333,9,16,True
target_clean,eaa0242faaefa78f2e2396c65d47014c85c2818b3301e32de7d28ea66b2f4542,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",4,7.333333333333333,12,16,True
target_clean,f6030f9140d9e84eef93b413e665a565fca8943542b7fb13b674efe98f21036d,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",2,7.0,9,16,True
target_clean,29d8acff5a28604fb774422f9a4f9a1c9d29e739826ade73b89e60ffff0e8a2a,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",4,7.333333333333333,12,16,True
target_clean,7a8db55258f227c1d62d332c8d935faab9808e567cdf8ec30fcd41406a4b4e31,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,7,16,True
